80.82.70.187 - - [04/Jul/2019:18:55:40 +0800] "GET /cache/global/img/gs.gif HTTP/1.1" 404 1109
112.17.240.245 - - [04/Jul/2019:19:16:57 +0800] "GET / HTTP/1.1" 200 11204
112.17.240.245 - - [04/Jul/2019:19:16:57 +0800] "GET / HTTP/1.1" 200 11204
112.17.240.245 - - [04/Jul/2019:19:16:57 +0800] "GET /tomcat.css HTTP/1.1" 200 5581
112.17.240.245 - - [04/Jul/2019:19:16:58 +0800] "GET /tomcat.png HTTP/1.1" 200 5103
112.17.240.245 - - [04/Jul/2019:19:16:58 +0800] "GET /bg-nav.png HTTP/1.1" 200 1401
112.17.240.245 - - [04/Jul/2019:19:16:58 +0800] "GET /asf-logo-wide.svg HTTP/1.1" 200 27235
112.17.240.245 - - [04/Jul/2019:19:16:58 +0800] "GET /bg-button.png HTTP/1.1" 200 713
112.17.240.245 - - [04/Jul/2019:19:16:58 +0800] "GET /bg-upper.png HTTP/1.1" 200 3103
112.17.240.245 - - [04/Jul/2019:19:16:58 +0800] "GET /bg-middle.png HTTP/1.1" 200 1918
112.17.240.245 - - [04/Jul/2019:19:17:07 +0800] "GET / HTTP/1.1" 200 11204
176.110.153.72 - - [04/Jul/2019:19:17:33 +0800] "GET / HTTP/1.1" 200 11204
112.17.240.245 - - [04/Jul/2019:19:50:57 +0800] "GET / HTTP/1.1" 200 11204
112.17.240.245 - - [04/Jul/2019:19:50:57 +0800] "GET / HTTP/1.1" 200 11204
112.17.240.245 - - [04/Jul/2019:19:50:57 +0800] "GET / HTTP/1.1" 200 11204
112.17.240.245 - - [04/Jul/2019:19:51:08 +0800] "GET / HTTP/1.1" 200 11204
112.17.240.245 - - [04/Jul/2019:19:51:33 +0800] "GET / HTTP/1.1" 200 11204
112.17.240.245 - - [04/Jul/2019:19:51:34 +0800] "GET /tomcat.css HTTP/1.1" 200 5581
112.17.240.245 - - [04/Jul/2019:19:51:34 +0800] "GET /tomcat.png HTTP/1.1" 200 5103
112.17.240.245 - - [04/Jul/2019:19:51:35 +0800] "GET /bg-nav.png HTTP/1.1" 200 1401
112.17.240.245 - - [04/Jul/2019:19:51:35 +0800] "GET /bg-upper.png HTTP/1.1" 200 3103
112.17.240.245 - - [04/Jul/2019:19:51:35 +0800] "GET /asf-logo-wide.svg HTTP/1.1" 200 27235
112.17.240.245 - - [04/Jul/2019:19:51:35 +0800] "GET /bg-button.png HTTP/1.1" 200 713
112.17.240.245 - - [04/Jul/2019:19:51:35 +0800] "GET /bg-middle.png HTTP/1.1" 200 1918
112.17.240.245 - - [04/Jul/2019:19:51:36 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
112.17.240.245 - - [04/Jul/2019:20:05:01 +0800] "GET / HTTP/1.1" 200 11204
112.17.240.245 - - [04/Jul/2019:20:05:01 +0800] "GET / HTTP/1.1" 200 11204
112.17.240.245 - - [04/Jul/2019:20:05:01 +0800] "GET / HTTP/1.1" 200 11204
112.17.240.245 - - [04/Jul/2019:20:05:01 +0800] "GET / HTTP/1.1" 200 11204
112.17.240.245 - - [04/Jul/2019:20:05:01 +0800] "GET / HTTP/1.1" 200 11204
112.17.240.245 - - [04/Jul/2019:20:20:07 +0800] "GET / HTTP/1.1" 404 1072
112.17.240.245 - - [04/Jul/2019:20:20:07 +0800] "GET / HTTP/1.1" 404 1072
112.17.240.245 - - [04/Jul/2019:20:20:07 +0800] "GET / HTTP/1.1" 404 1072
112.17.240.245 - - [04/Jul/2019:20:20:07 +0800] "GET / HTTP/1.1" 404 1072
112.17.240.245 - - [04/Jul/2019:20:20:16 +0800] "GET / HTTP/1.1" 404 1072
112.17.240.245 - - [04/Jul/2019:20:25:05 +0800] "GET / HTTP/1.1" 404 1072
112.17.240.245 - - [04/Jul/2019:20:25:14 +0800] "GET / HTTP/1.1" 404 1072
112.17.240.245 - - [04/Jul/2019:20:25:20 +0800] "GET / HTTP/1.1" 404 1072
112.17.240.245 - - [04/Jul/2019:20:48:30 +0800] "GET / HTTP/1.1" 404 1072
112.17.240.245 - - [04/Jul/2019:20:48:30 +0800] "GET / HTTP/1.1" 404 1072
112.17.240.245 - - [04/Jul/2019:20:48:36 +0800] "GET / HTTP/1.1" 404 1072
112.17.240.245 - - [04/Jul/2019:20:48:39 +0800] "GET / HTTP/1.1" 404 1072
112.17.240.245 - - [04/Jul/2019:20:48:41 +0800] "GET / HTTP/1.1" 404 1072
112.17.240.245 - - [04/Jul/2019:20:49:03 +0800] "GET / HTTP/1.1" 404 1072
189.46.214.99 - - [04/Jul/2019:20:59:53 +0800] "GET / HTTP/1.1" 404 1078
112.17.240.245 - - [04/Jul/2019:20:59:53 +0800] "GET / HTTP/1.1" 404 1072
